"filename", "language", "HTML", "JavaScript", "CSS", "Markdown", "XML", "comment", "blank", "total"
"e:\桌面\dwhs-cic-web\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 1
"e:\桌面\dwhs-cic-web\about.html", "HTML", 103, 0, 0, 0, 0, 3, 8, 114
"e:\桌面\dwhs-cic-web\contact.html", "HTML", 90, 0, 0, 0, 0, 3, 7, 100
"e:\桌面\dwhs-cic-web\courses.html", "HTML", 88, 0, 0, 0, 0, 2, 3, 93
"e:\桌面\dwhs-cic-web\index.html", "HTML", 59, 0, 0, 0, 0, 4, 7, 70
"e:\桌面\dwhs-cic-web\members.html", "HTML", 110, 0, 0, 0, 0, 4, 8, 122
"e:\桌面\dwhs-cic-web\script.js", "JavaScript", 0, 48, 0, 0, 0, 4, 9, 61
"e:\桌面\dwhs-cic-web\sitemap.xml", "XML", 0, 0, 0, 0, 27, 0, 1, 28
"e:\桌面\dwhs-cic-web\style.css", "CSS", 0, 0, 411, 0, 0, 16, 63, 490
"Total", "-", 450, 48, 411, 1, 27, 36, 106, 1079